,字段名,数据类型,缺失数量,缺失比例(%),唯一值数量
0,CustomerID,int64,0,0.0,5630
1,Churn,int64,0,0.0,2
2,Tenure,float64,0,0.0,36
3,PreferredLoginDevice,str,0,0.0,2
4,CityTier,int64,0,0.0,3
5,WarehouseToHome,float64,0,0.0,34
6,PreferredPaymentMode,str,0,0.0,5
7,Gender,str,0,0.0,2
8,HourSpendOnApp,float64,0,0.0,6
9,NumberOfDeviceRegistered,int64,0,0.0,6
10,PreferedOrderCat,str,0,0.0,5
11,SatisfactionScore,int64,0,0.0,5
12,MaritalStatus,str,0,0.0,3
13,NumberOfAddress,int64,0,0.0,15
14,Complain,int64,0,0.0,2
15,OrderAmountHikeFromlastYear,float64,0,0.0,16
16,CouponUsed,float64,0,0.0,17
17,OrderCount,float64,0,0.0,16
18,DaySinceLastOrder,float64,0,0.0,22
19,CashbackAmount,float64,0,0.0,2586
20,TenureGroup,category,508,9.02,5
21,IsMobileLogin,int64,0,0.0,2
