,字段名,数据类型,缺失数量,缺失比例(%),唯一值数量
0,CustomerID,int64,0,0.0,5630
1,Churn,int64,0,0.0,2
2,Tenure,float64,264,4.69,36
3,PreferredLoginDevice,str,0,0.0,3
4,CityTier,int64,0,0.0,3
5,WarehouseToHome,float64,251,4.46,34
6,PreferredPaymentMode,str,0,0.0,7
7,Gender,str,0,0.0,2
8,HourSpendOnApp,float64,255,4.53,6
9,NumberOfDeviceRegistered,int64,0,0.0,6
10,PreferedOrderCat,str,0,0.0,6
11,SatisfactionScore,int64,0,0.0,5
12,MaritalStatus,str,0,0.0,3
13,NumberOfAddress,int64,0,0.0,15
14,Complain,int64,0,0.0,2
15,OrderAmountHikeFromlastYear,float64,265,4.71,16
16,CouponUsed,float64,256,4.55,17
17,OrderCount,float64,258,4.58,16
18,DaySinceLastOrder,float64,307,5.45,22
19,CashbackAmount,float64,0,0.0,2586
