TenureGroup,Complain,用户数,流失人数,流失率,平均订单,投诉状态,样本提示
0-6个月,0,1177,189,0.16057774001699235,2.610875106202209,无投诉,正常样本
0-6个月,1,465,236,0.5075268817204301,2.868817204301075,有投诉,正常样本
13-24个月,0,1053,43,0.04083570750237417,3.8461538461538463,无投诉,正常样本
13-24个月,1,414,52,0.12560386473429952,3.345410628019324,有投诉,正常样本
24个月以上,0,304,0,0.0,3.7467105263157894,无投诉,正常样本
24个月以上,1,125,0,0.0,3.056,有投诉,正常样本
7-12个月,0,1178,75,0.0636672325976231,2.775042444821732,无投诉,正常样本
7-12个月,1,406,81,0.19950738916256158,2.667487684729064,有投诉,正常样本
新用户,0,314,133,0.42356687898089174,1.7484076433121019,无投诉,正常样本
新用户,1,194,139,0.7164948453608248,2.118556701030928,有投诉,正常样本
